V1,V2
2.072345,-3.241693
17.93671,15.78481
1.083576,7.319176
11.12067,14.40678
23.71155,2.557729
24.16993,32.02478
21.66578,4.892855
4.693684,12.34217
19.21191,-1.121366
4.230391,-4.441536
9.12713,23.60572
0.4075031,15.29705
7.314846,3.309312
-3.438403,-12.02527
17.63935,-3.212345
4.415292,22.81555
11.94122,8.122487
0.7258532,1.806819
8.185273,28.1326
-5.773587,1.0248
18.76943,24.16946
7.752016,-3.334991
10.61132,28.44378
2.02165,-4.687122
5.145525,11.186
6.24331,19.47716
-11.70671,8.073185
7.255978,14.63704
3.392373,1.220712
24.2999,40.42887
4.094005,6.944695
11.80358,-2.445336
0.09228785,-6.651035
28.50607,-9.091833
23.40831,7.931438
10.56305,12.54468
20.14157,11.11789
-1.871265,8.60885
29.30237,14.02176
18.65383,17.21672
-2.972188,6.370999
10.32313,12.11574
16.90539,-1.355044
6.75371,12.02797
23.94777,13.35047
6.883513,6.188563
-1.241542,10.08179
20.50827,-1.57887
-3.75683,1.60851
17.9176,13.09896
2.002537,-0.656524
10.7768,15.5336
24.15819,5.330366
0.3268727,7.288787
21.64777,14.00506
6.871417,21.51998
15.14264,5.111947
11.54712,4.75756
0.6611676,-10.14263
-13.66531,16.93903
24.90937,-10.82038
-4.53022,-6.173767
3.163677,8.051481
1.495172,-7.261601
7.097637,2.105751
3.509483,24.58487
12.99879,24.91248
0.3593824,6.387915
14.35429,-2.252421
3.831208,-2.000873
31.40462,26.77209
-5.501097,13.39128
-1.04476,5.955898
4.409013,9.323681
2.917201,16.53999
7.265954,10.64794
10.32038,13.36857
9.35213,10.42427
6.648532,11.07535
-1.922306,4.888493
7.22604,13.02948
8.327288,8.540999
17.69046,21.59555
16.58353,18.16115
12.35425,31.96708
2.471138,5.482761
18.4925,29.42421
10.1196,7.162078
20.40245,3.943319
12.71589,4.531656
24.35859,-4.0644
21.74312,15.90887
12.27208,-9.612116
18.29681,22.38563
3.530957,8.673297
5.026042,36.03767
-0.8633009,-7.586249
26.83892,13.13713
19.11999,7.209715
-0.8841637,27.15254
-5.191529,29.65612
9.796095,15.43598
11.66314,10.63428
9.925199,26.80364
33.90998,15.02652
9.57004,9.2481
-16.2653,13.90024
15.10579,3.350049
-4.186504,7.96441
12.54816,32.51867
-7.733469,9.634491
18.91337,15.7414
-1.050022,-4.003455
-6.894765,1.041802
23.05031,-12.76934
25.96073,11.44522
7.950795,6.811407
-3.669517,-4.329696
10.52266,23.3561
26.29452,10.51806
12.42904,23.15663
0.1170239,24.65274
-1.040023,1.629857
11.16266,9.0201
13.61452,0.8832188
8.028045,14.82966
20.40253,22.0472
8.818028,18.90424
-0.3163153,21.40601
7.190193,9.13962
-0.4711474,-8.29095
16.6546,-1.519889
10.51711,-5.018592
17.96306,14.46713
-1.315535,11.6027
5.113728,3.961434
32.25842,-2.712702
-10.59094,15.40292
21.60892,17.75002
11.31144,1.031762
11.30595,3.068958
15.51137,8.943091
15.37201,18.17922
3.77755,13.33419
17.27989,13.97798
-3.349734,26.6599
15.72571,6.373983
25.50999,15.15837
16.68281,18.95937
-4.734694,24.09568
25.08795,19.69376
7.038364,10.6667
4.521214,-6.635304
6.454509,13.66272
5.322541,22.3855
0.6316529,19.79414
-5.669132,11.32511
9.843806,-4.695499
15.39168,14.14527
1.289581,10.09948
17.10334,6.207793
17.13273,6.609228
9.70176,12.33497
18.80351,-3.160759
6.08478,4.689186
-6.025192,26.61258
4.237603,7.315439
16.82231,8.13356
-4.768829,28.65819
0.5061416,4.946298
12.57349,10.41494
16.35374,6.874306
0.1009744,2.590253
13.67556,-12.72959
2.477362,8.42026
14.99279,15.16393
29.71711,15.62874
17.48491,3.3823
13.45815,-4.13764
2.2072,-1.554494
23.05134,24.39491
32.74222,25.56641
15.56297,24.94262
8.132651,8.998712
0.4580866,-9.891244
-9.164294,5.029294
-3.031709,20.23346
12.12393,15.103
19.95281,29.14982
13.00477,27.23093
10.4399,25.7741
0.351724,12.2222
10.37312,6.863773
17.95419,4.455694
21.06292,3.607867
6.069686,9.325338
14.00808,11.5225
-1.777792,14.62108
0.7525703,-7.381838
-2.329547,5.070321
1.77457,6.278572
10.69576,16.30571
18.11151,34.12422
0.2417766,27.04643
-0.4202355,4.105829
15.41425,14.78257
8.463556,23.04895
12.03072,17.41157
18.68731,6.949079
6.369355,5.700326
21.82924,5.564074
7.61541,-5.024377
5.823252,18.40279
22.35203,8.526174
6.434616,21.16974
0.5560946,-4.866076
6.737062,-11.7331
-1.392677,14.64543
4.935136,24.86809
20.35508,26.98124
8.624667,10.67174
16.31749,11.64083
9.014875,14.42246
17.59833,26.66023
2.636649,24.04782
13.82606,16.27159
10.39783,3.804893
-6.27359,3.878999
-11.88057,0.1788024
21.02048,9.690716
18.25632,16.94127
24.96351,-1.158215
10.13696,6.446662
3.509066,16.55414
2.409921,-0.3445188
16.0843,7.562616
5.987025,7.456533
12.63902,14.35081
7.392535,22.61304
10.37212,-1.25827
-19.01791,0.6507304
3.030817,4.580993
34.0303,-3.716423
-5.843476,13.79137
36.95611,-1.245269
-0.188409,-1.86653
17.28285,1.558553
8.9204,29.19455
-5.873556,6.456733
17.76259,24.02293
12.49482,22.47067
12.6087,3.212588
3.606599,14.24789
20.48342,13.74531
31.6423,13.04685
4.745898,7.317133
-5.295478,6.001008
7.238307,19.98631
6.144599,19.91034
9.837835,8.336385
18.64695,5.146764
-0.5638628,9.673976
5.21368,21.83143
-0.1993878,9.176207
22.42831,8.390862
19.39561,-7.412824
31.28428,4.131464
8.380888,0.2647594
7.84069,13.20062
23.85992,6.171501
6.188661,24.92638
18.08387,19.74208
14.23096,12.43815
14.4807,8.661634
30.91987,17.57755
4.117051,3.299065
18.10072,9.572447
-3.777019,1.115207
18.47156,8.861407
30.69195,21.9132
1.838687,13.1765
14.22135,16.96163
27.70961,10.52575
9.956135,7.890054
11.7273,14.00086
2.154482,14.16347
-0.2120434,1.330881
-1.738983,16.9849
2.299075,-0.2934258
22.01149,-0.4469464
4.275241,16.67383
19.38943,4.436821
8.80722,13.23823
-0.7658179,-4.004811
12.69128,13.52916
12.73131,7.050802
8.388222,23.45347
23.42708,4.598641
4.046104,7.634936
7.667025,3.193633
22.60801,5.13032
14.74391,28.76733
20.53201,8.01565
16.46037,16.81531
12.70669,11.48214
-1.474059,3.329562
35.04961,14.4484
2.529177,15.56721
28.9961,-15.57834
10.57878,6.307686
5.52815,14.12427
12.48016,2.728922
18.10028,3.891689
11.17125,11.10063
14.58538,25.99213
27.21567,-1.980637
-1.40271,22.3755
-14.66871,9.792318
28.25157,14.28507
2.688756,3.029997
9.58344,12.00506
3.65772,1.649871
3.575705,14.80241
34.62557,4.384648
36.12292,12.05849
12.56065,-4.733039
37.48364,34.12808
1.915274,22.28056
18.14029,3.569117
-1.214981,-3.318584
7.646434,29.92259
-2.844509,13.71118
14.62733,16.4933
-0.3742695,15.06495
10.15795,13.33612
19.4574,11.29307
-6.23644,9.581524
0.2870638,6.756246
7.025387,8.299629
6.205405,29.41931
12.37304,4.152157
-8.001964,15.62843
9.879504,13.94365
12.83222,20.98375
10.71142,18.59333
10.09704,9.915216
17.89963,6.451302
-6.720686,14.99367
3.712734,7.361372
-16.22395,17.81785
8.71418,24.10122
17.05254,5.227864
-14.69171,31.79987
7.943416,10.26803
14.00498,21.54721
-1.302871,2.063343
-0.7624772,7.001412
21.54626,21.13478
1.232726,12.78234
1.602791,2.210584
-6.679344,12.61919
-6.89254,2.942795
12.32427,22.68294
21.02468,26.13788
6.443124,-3.984948
22.39199,13.58907
18.06598,2.753522
8.136961,22.73404
13.14208,24.21235
11.51451,15.92228
-2.505605,15.30741
3.29959,13.2484
-4.795219,1.21583
29.08478,10.30137
5.12492,4.627426
17.06078,9.965354
-0.340825,11.85959
15.29532,9.07695
6.39995,23.04672
14.52243,17.69336
28.85673,4.007334
10.77192,5.787269
7.428645,15.77705
-6.637651,14.04711
17.08812,8.223101
15.07757,-13.68943
-22.15215,9.511638
5.04531,1.784843
-2.521792,-7.60383
32.85505,0.3210041
6.070759,5.579687
3.508814,-3.738329
9.818843,2.407706
11.93353,18.78467
2.850058,-4.31489
5.20408,6.957638
13.56349,9.16074
2.631175,5.677225
6.517994,-0.974309
15.80081,19.64233
14.07388,-1.577052
-3.888388,0.4062882
18.69151,10.06134
21.0912,26.45951
2.459292,6.838326
6.513192,-0.7243317
24.3063,14.39751
13.94559,0.7581209
-2.664707,-6.36948
8.106246,0.4920085
17.07317,25.84198
6.049433,22.92962
23.94025,27.27981
-7.401308,-3.555808
2.926755,22.41698
-2.774311,-21.36068
-3.094624,16.60375
15.66338,18.60818
22.3694,20.29701
-0.984013,23.2461
28.63485,4.79718
21.88014,12.66741
-3.621506,4.750143
12.52111,8.46408
-22.49599,0.1392916
17.33361,3.268888
-6.884011,-1.824905
10.21154,24.45211
12.14809,12.06576
-1.924867,-0.1361344
21.60187,10.23303
15.66342,13.89372
15.0212,9.187742
13.60186,16.88655
4.554105,37.17632
12.56063,7.900061
-11.53464,11.63952
24.58798,1.860825
-8.381909,14.35407
-6.114265,7.363373
-5.19861,12.78676
21.17985,10.36981
6.734995,23.19933
10.19698,15.43111
12.04076,17.23649
25.86829,2.396404
-5.335044,7.578044
9.824228,6.06933
14.24967,27.39351
5.553391,13.30626
9.224884,-2.702723
16.72743,15.95237
13.19714,14.47518
13.47672,-4.123874
6.28349,11.55091
15.38618,-8.226192
10.96815,9.922543
14.3925,3.203174
22.91966,20.66688
12.9942,15.3486
24.38812,18.26395
-9.467832,0.6434593
-5.988947,22.67049
-1.766619,18.50818
-2.997209,15.36209
-2.980586,14.54187
19.18525,12.05587
18.62052,-6.348775
4.541831,3.586799
2.029832,35.52395
18.08133,6.853875
